"customer","acr","ai_spending"
"CANADIAN IMPERIAL BANK OF COMMERCE",8633751.0,136980.0
"Cognizant Technology Solutions India Pvt Ltd",5178880.0,135482.0
"Volkswagen AG Germany",16903915.0,131893.0
"United Wholesale Mortgage",2849342.0,131136.0
"HEALTHEDGE SOFTWARE INC",2019151.0,130949.0
"AIA Company Limited",7946783.0,130173.0
"Hexagon",3654935.0,125245.0
"BMW AG",7126272.0,124453.0
"H AND R BLOCK",3117832.0,124338.0
"HP inc",3743722.0,124076.0
"VALE SA",2297890.0,122576.0
"Royal Dutch Shell Global Parent",14226123.0,122419.0
"Mistral AI",1924051.0,121764.0
"PEARSON INC",2477335.0,121701.0
"ABU DHABI INVESTMENT AUTHORITY (ADIA)",2105710.0,118560.0
"Emirates",3205567.0,117208.0
"WPP",4285010.0,115220.0
"MASTERCARD INTERNATIONAL",4542757.0,115120.0
"IBM",6448806.0,114709.0
"富士フイルムホールディングス株式会社",2097290.0,112252.0
"U S DHS",3929518.0,112004.0
"Robert Bosch GmbH",8854807.0,110814.0
"MOUVEMENT DESJARDINS",4218949.0,108980.0
"MOD",3435073.0,108611.0
"Blackstone Inc.",6331924.0,108199.0
"STATE STREET BOSTON CORPORATION",16416487.0,106985.0
"ZSCALER",2388324.0,106725.0
"UNICREDITO ITALIANO SPA",1623936.0,105940.0
"METLIFE",4692385.0,105391.0
"EMIRATES TELECOMMUNICATIONS GROUP COMPANY P.J.S.C.",2171796.0,104539.0
"PepsiCo",16126087.0,102590.0
"SAS INSTITUTE INC",6706751.0,102288.0
"AXA GIE",11836148.0,101550.0
"Fidelity National Financial",4229430.0,100708.0
"Marsh McLennan",3660458.0,98434.0
"HM REVENUE & CUSTOMS",2558788.0,97093.0
"FIDELITY INVESTMENTS",5628808.0,96412.0
"Willis Towers Watson",8350357.0,95990.0
"Visma ASA",3932206.0,95553.0
"Bayer AG",9868219.0,95159.0
"DuckDuckGo",1618450.0,94954.0
"EXPERIAN",2703088.0,92543.0
"Tata Consultancy Services Ltd",2634783.0,92166.0
"MCKINSEY & COMPANY",1755360.0,92125.0
"LIBERTY MUTUAL INSURANCE COMPANY",2305620.0,91721.0
"NICE SYSTEMS LTD",2466970.0,90390.0
"UIPATH",5981370.0,89993.0
"bp",6606944.0,88581.0
"Unitedhealth Group Information Services Pvt Ltd",2009838.0,88103.0
"SOMPO JAPAN INSURANCE COMPANY OF AMERICA YASUDA INSURANCE",2218003.0,86837.0
"Raytheon Technologies Corporation",5801815.0,86757.0
"CAPGEMINI",3557302.0,85552.0
"Nielsen Consumer LLC",3845256.0,85149.0
"NORTHERN TRUST CORPORATION",5033715.0,84836.0
"TELEFONAB LM ERICSSON",3252186.0,84647.0
"COCA COLA COMPANY",18881130.0,84438.0
"BLACKROCK FINANCIAL MANAGEMENT",10446539.0,83903.0
"Novartis AG",2449893.0,83361.0
"Grupo Santander",9723320.0,82726.0
"NOKIA CORPORATION",3101508.0,82418.0
"Rock Holding Inc.",2427088.0,81760.0
"Commerzbank AG",2802819.0,81224.0
"General Electric Co.",3716084.0,80842.0
"PROGRESSIVE CORPORATION",1833844.0,78717.0
"IQVIA",4135110.0,78425.0
"HEARST CORPORATION",1795024.0,78407.0
"IBERDROLA S.A.",2180218.0,78272.0
"RBC FINANCIAL GROUP",6668435.0,77587.0
"Raiffeisen Bank International AG",1673564.0,77467.0
"Tesco",6077948.0,74493.0
"Infosys Ltd",3482919.0,73466.0
"E.ON SE",6335730.0,73161.0
"ENI SPA",4356035.0,73009.0
"Hcl Technologies Ltd",2376426.0,70802.0
"KANTAR",3992445.0,70353.0
"JT Group",1635410.0,69619.0
"VEEAM SOFTWARE CORPORATION",7506700.0,69383.0
"R1 RCM Inc",5019866.0,69373.0
"Flipkart Internet",5991736.0,68770.0
"MICROSTRATEGY",2862696.0,68658.0
"Access Group",2595971.0,67083.0
"Centrica",3635166.0,66943.0
